enseigne,siren,siret,nom,adresse,ville,code_postal
Carrefour,503932568,50393256800010,CARREFOUR,1 AVENUE DES ECOLES,LE CANNET,06110
Lidl,343262622,34326262201394,LIDL,AVENUE ARISTIDE BRIAND,GRANVILLE,50400
Leclerc,491086914,49108691400018,LECLERC,18 AVENUE SAINTE BARBE,SOISY-SOUS-MONTMORENCY,95230
Auchan,379548001,37954800100070,AUCHAN CARBURANT,CENTRE COMMERCIAL LE GRAND CAP,LE HAVRE,76600
Decathlon,306138900,30613890003928,DECATHLON,25 RUE DE LA LADRIE,VILLENEUVE-D'ASCQ,59491
Ikea,351745724,35174572400572,MEUBLES IKEA FRANCE,147 RUE CARDINET,PARIS,75017
Fnac,334473352,33447335200253,RELAIS FNAC,17 AVENUE VICTOR HUGO,VALENCE,26000
Boulanger,347384570,34738457000284,BOULANGER,ESPACE COMBOIRE,ECHIROLLES,38130
Starbucks,424992410,42499241000037,SCI STARBUCKS HOUSE,117 AVENUE DU PLAT PAYS,WAMBRECHIES,59118
McDonald's,722003936,72200393600324,MCDONALD'S FRANCE,ROUTE DE PROVINS,ORMESSON-SUR-MARNE,94490
